data;unemp
01/03/2002;11,55
01/06/2002;11,15
01/09/2002;11,49
01/12/2002;11,61
01/03/2003;11,99
01/06/2003;11,28
01/09/2003;11,3
01/12/2003;11,37
01/03/2004;11,5
01/06/2004;11,09
01/09/2004;10,74
01/12/2004;10,53
01/03/2005;10,17
01/06/2005;9,32
01/09/2005;8,41
01/12/2005;8,71
01/03/2006;9,03
01/06/2006;8,44
01/09/2006;8,08
01/12/2006;8,26
01/03/2007;8,42
01/06/2007;7,93
01/09/2007;8,01
01/12/2007;8,57
01/03/2008;9,6
01/06/2008;10,36
01/09/2008;11,23
01/12/2008;13,79
01/03/2009;17,24
01/06/2009;17,77
01/09/2009;17,75
01/12/2009;18,66
01/03/2010;19,84
01/06/2010;19,89
01/09/2010;19,59
01/12/2010;20,11
01/03/2011;21,08
01/06/2011;20,64
01/09/2011;21,28
01/12/2011;22,56
01/03/2012;24,19
01/06/2012;24,4
01/09/2012;24,79
01/12/2012;25,77
01/03/2013;26,94
01/06/2013;26,06
01/09/2013;25,65
01/12/2013;25,73
01/03/2014;25,93
01/06/2014;24,47
01/09/2014;23,67
01/12/2014;23,7
01/03/2015;23,78
01/06/2015;22,37
01/09/2015;21,18
01/12/2015;20,9
